2022-05-16 00:03:56.381 DEBUG 15948 --- [http-nio-9001-exec-2] o.s.web.servlet.DispatcherServlet        : "ERROR" dispatch for POST "/error", parameters={}
2022-05-16 00:03:56.385 DEBUG 15948 --- [http-nio-9001-exec-2] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController#error(HttpServletRequest)
2022-05-16 00:03:56.489 DEBUG 15948 --- [http-nio-9001-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
2022-05-16 00:03:56.490 DEBUG 15948 --- [http-nio-9001-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [{timestamp=Mon May 16 00:03:56 IST 2022, status=405, error=Method Not Allowed, path=/catalog/categor (truncated)...]
2022-05-16 00:03:56.502 DEBUG 15948 --- [http-nio-9001-exec-2] o.s.web.servlet.DispatcherServlet        : Exiting from "ERROR" dispatch, status 405
2022-05-16 00:04:13.565 DEBUG 15948 --- [http-nio-9001-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/catalog/category/", parameters={}
2022-05-16 00:04:13.566 DEBUG 15948 --- [http-nio-9001-exec-3] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.shopping.catalogservice.controller.CategoryController#categoryController()
2022-05-16 00:04:13.570 DEBUG 15948 --- [http-nio-9001-exec-3] m.m.a.RequestResponseBodyMethodProcessor : Using 'text/plain', given [*/*] and supported [text/plain, */*, text/plain, */*, application/json, application/*+json, application/json, application/*+json]
2022-05-16 00:04:13.570 DEBUG 15948 --- [http-nio-9001-exec-3] m.m.a.RequestResponseBodyMethodProcessor : Writing ["Welcome to category controller!"]
2022-05-16 00:04:13.572 DEBUG 15948 --- [http-nio-9001-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-05-16 00:04:24.215 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:04:24.216 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:04:24.223 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:04:24.224 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:04:24.246 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:04:24.247 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:04:24.253 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:04:54.244 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:04:54.245 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:04:54.252 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:04:54.252 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:04:54.260 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:04:54.261 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:04:54.269 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:05:24.262 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:05:24.263 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:05:24.269 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:05:24.271 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:05:24.277 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:05:24.279 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:05:24.285 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:05:54.295 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:05:54.295 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:05:54.296 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:05:54.297 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:05:54.305 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:05:54.305 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:05:54.306 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:06:24.314 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:06:24.314 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:06:24.315 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:06:24.315 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:06:24.321 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
